language_pair,sentence_id,source,reference,marianmt_translation,marianmt_bleu,google_translate,google_bleu
FR→EN,1,Le soleil se lève à l'est.,The sun rises in the east.,The sun rises to the east.,41.11,The sun rises in the east.,100.0
FR→EN,2,J'aime beaucoup la musique classique.,I really like classical music.,I like classical music very much.,27.78,I really like classical music.,100.0
FR→EN,3,Elle travaille dans un hôpital depuis dix ans.,She has worked in a hospital for ten years.,She's been working in a hospital for ten years.,63.89,She has worked in a hospital for ten years.,100.0
FR→EN,4,Nous partirons en vacances la semaine prochaine.,We will go on holiday next week.,We'll go on vacation next week.,26.65,We're going on vacation next week.,22.77
FR→EN,5,Les enfants jouent dans le parc.,The children are playing in the park.,Children play in the park.,36.41,The children are playing in the park.,100.0
FR→EN,6,Il fait très froid en hiver ici.,It is very cold in winter here.,It's very cold in winter here.,70.14,It gets very cold here in winter.,17.97
FR→EN,7,Pouvez-vous m'indiquer le chemin pour la gare ?,Can you show me the way to the train station?,Can you tell me the way to the station?,45.56,Can you tell me the way to the train station?,74.19
FR→EN,8,Cette ville est connue pour ses musées.,This city is known for its museums.,This city is known for its museums.,100.0,This city is known for its museums.,100.0
FR→EN,9,Je n'ai pas encore mangé ce matin.,I have not eaten yet this morning.,I haven't eaten yet this morning.,55.78,I haven't eaten yet this morning.,55.78
FR→EN,10,Le livre que tu m'as prêté était excellent.,The book you lent me was excellent.,The book you lent me was excellent.,100.0,The book you lent me was excellent.,100.0
FR→EN,11,Ils ont construit une nouvelle école dans le quartier.,They built a new school in the neighbourhood.,They built a new school in the neighborhood.,75.06,They built a new school in the neighborhood.,75.06
FR→EN,12,Ma mère prépare toujours de bons repas.,My mother always prepares good meals.,My mother always cooks good meals.,41.11,My mother always prepares good meals.,100.0
FR→EN,13,La réunion a été reportée à demain.,The meeting has been postponed to tomorrow.,The meeting was postponed until tomorrow.,17.03,The meeting has been postponed until tomorrow.,59.46
FR→EN,14,Il apprend le piano depuis l'âge de cinq ans.,He has been learning the piano since the age of five.,He's been learning piano since he was five years old.,10.71,He has been learning piano since the age of five.,74.26
FR→EN,15,Les fleurs s'épanouissent au printemps.,The flowers bloom in spring.,The flowers bloom in spring.,100.0,The flowers bloom in spring.,100.0
FR→EN,16,Nous avons regardé un film hier soir.,We watched a film last night.,We watched a movie last night.,41.11,We watched a movie last night.,41.11
FR→EN,17,Le train est arrivé avec vingt minutes de retard.,The train arrived twenty minutes late.,The train arrived twenty minutes late.,100.0,The train arrived twenty minutes late.,100.0
FR→EN,18,Elle parle couramment trois langues.,She speaks three languages fluently.,She speaks three languages fluently.,100.0,She speaks three languages ??fluently.,41.11
FR→EN,19,Ce restaurant sert d'excellents plats de fruits de mer.,This restaurant serves excellent seafood dishes.,This restaurant serves excellent seafood dishes.,100.0,This restaurant serves excellent seafood dishes.,100.0
FR→EN,20,Les nouvelles technologies changent notre façon de vivre.,New technologies are changing the way we live.,New technologies are changing our way of life.,33.03,New technologies are changing the way we live.,100.0
DE→EN,1,Die Sonne scheint heute sehr hell.,The sun is shining very brightly today.,The sun is shining very bright today.,59.46,The sun is shining very brightly today.,100.0
DE→EN,2,Ich lerne seit drei Jahren Deutsch.,I have been learning German for three years.,I've been learning German for three years.,74.21,I have been learning German for three years.,100.0
DE→EN,3,Das Wetter wird morgen besser sein.,The weather will be better tomorrow.,The weather will be better tomorrow.,100.0,The weather will be better tomorrow.,100.0
DE→EN,4,Er arbeitet in einer großen Firma in Berlin.,He works in a large company in Berlin.,He works in a large company in Berlin.,100.0,He works for a large company in Berlin.,66.06
